state,xpos,ypos
Alabama,7,6
Alaska,0,0
Arizona,2,5
Arkansas,5,5
California,1,4
Colorado,3,4
Connecticut,10,3
Delaware,9,5
"Washington, D.C.",10,4
Florida,9,7
Georgia,8,6
Hawaii,1,7
Idaho,2,2
Illinois,6,2
Indiana,6,3
Iowa,5,3
Kansas,4,5
Kentucky,6,4
Louisiana,5,6
Maine,11,0
Maryland,9,4
Massachusetts,11,2
Michigan,8,2
Minnesota,5,2
Mississippi,6,6
Missouri,5,4
Montana,3,2
Nebraska,4,4
Nevada,2,3
New Hampshire,11,1
New Jersey,9,3
New Mexico,3,5
New York,9,2
North Carolina,7,5
North Dakota,4,2
Ohio,7,3
Oklahoma,4,6
Oregon,1,3
Pennsylvania,8,3
Rhode Island,10,2
South Carolina,8,5
South Dakota,4,3
Tennessee,6,5
Texas,4,7
Utah,2,4
Vermont,10,1
Virginia,8,4
Washington,1,2
West Virginia,7,4
Wisconsin,7,2
Wyoming,3,3
